target_id	length	eff_length	est_counts	tpm
h1SMcT0023044.1	938	753.711	1	0.078113
h1SMnT0035429.1	433	251.852	18.4767	4.31924
h1SMnT0035428.2	1171	986.711	11.3708	0.678467
h1SMnT0035430.1	225	68.3526	0.185446	0.159732
h1SMcT0022937.1	1148	963.711	1.1165	0.0682086
h1SMnT0035345.1	487	304.386	1	0.193421
h1SMcT0022992.1	5186	5001.71	8.52744	0.100376
h1SMnT0035168.1	667	482.905	0	0
h1SMnT0035169.1	682	497.885	1	0.118249
h1SMnT0035364.1	3295	3110.71	0	0
h1SMnT0035365.1	822	637.755	0	0
h1SMnT0035366.1	3294	3109.71	64.3955	1.21917
h1SMnT0035367.1	2210	2025.71	223.64	6.49981
h1SMnT0035368.1	649	464.933	0	0
h1SMnT0035369.1	3295	3110.71	9.68489	0.1833
h1SMnT0035370.1	1798	1613.71	47.5793	1.73588
h1SMcT0023064.1	649	464.933	9.54338	1.20848
h1SMcT0022911.1	964	779.711	101.927	7.69632
h1SMcT0022912.1	1707	1522.71	0	0
h1SMnT0035348.1	2018	1833.71	94.4686	3.03309
h1SMcT0022995.1	1592	1407.71	68.5274	2.86602
h1SMnT0035349.1	581	397.241	13.5097	2.00226
h1SMnT0035350.1	437	255.708	17.1601	3.95097
h1SMnT0035351.1	251	88.3215	1	0.666595
h1SMnT0035439.1	173	33.8923	0	0
h1SMcT0023009.1	1809	1624.71	1.45029	0.0525543
h1SMnT0035408.1	676	491.895	0	0
h1SMnT0035149.1	469	286.746	0	0
h1SMcT0022739.1	1385	1200.71	0	0
h1SMcT0022740.2	1315	1130.71	55	2.86378
h1SMnT0035008.1	217	62.6008	0	0
h1SMnT0035009.1	403	223.107	0	0
h1SMnT0035304.1	214	60.4596	0	0
h1SMcT0023054.1	1130	945.711	0	0
h1SMcT0023055.1	5046	4861.71	77.9767	0.944287
h1SMcT0022976.1	1057	872.711	0.316057	0.0213218
h1SMnT0035249.1	307	134.918	0	0
h1SMnT0035250.1	410	229.768	8766	2246.16
