"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_ddv6"	"Preferred_name"	"Description"
"h1SMcG0002269"	7.46330601952592	1.39313821043894	0.654883044104396	2.12730841480888	0.0333944660494353	0.999848104559862	"dd_Smed_v6_194_0_1"	"-"	"Apolipoprotein"
"h1SMcG0003897"	4.9181791349382	1.73431658067836	0.760690641820538	2.27992364481791	0.0226122174337637	0.999848104559862	"dd_Smed_v6_9569_0_1"	"VPS13B"	"Vacuolar protein sorting-associated protein 13B"
"h1SMcG0005326"	3.187901204644	2.4983107287987	1.11577447951567	2.23908215742947	0.0251505709871172	0.999848104559862	"dd_Smed_v6_43_0_1"	"-"	"-"
"h1SMcG0005840"	6.40695495399035	1.38369362043245	0.661358644608779	2.09219858500671	0.0364207550332322	0.999848104559862	"dd_Smed_v6_4251_0_1"	"-"	"-"
"h1SMcG0007202"	3.13581687363715	1.99390281687219	0.995439097530394	2.00303848002244	0.0451731583644393	0.999848104559862	"dd_Smed_v6_2046_0_1"	"MMADHC"	"cobalamin metabolic process"
"h1SMcG0009472"	2.22691031953592	3.05145485730551	1.47495751418614	2.06884254492527	0.038560864575949	0.999848104559862	"dd_Smed_v6_2544_0_1"	"unc-22"	"myosin light chain kinase activity"
"h1SMcG0009527"	2.94366587995053	-2.36248646350557	1.13658519264337	-2.0785828275759	0.0376557107011447	0.999848104559862	"-"	"tinc"	"-"
"h1SMcG0011385"	7.10193027567198	-1.33599523413481	0.658325814232264	-2.02938302775328	0.0424192924442568	0.999848104559862	"dd_Smed_v6_416_0_1"	"-"	"binding of sperm to zona pellucida"
"h1SMcG0011447"	6.56228812438975	-1.31040787579394	0.645716806475834	-2.02938480561754	0.0424191115021415	0.999848104559862	"dd_Smed_v6_8254_0_2"	"DYRK1A"	"protein serine/threonine/tyrosine kinase activity"
"h1SMcG0013217"	2.80703498576095	2.24262839465387	1.11520342276598	2.01095903121567	0.0443297842596584	0.999848104559862	"dd_Smed_v6_738_0_1"	"VDAC3"	"Voltage-dependent anion channel 3"
"h1SMcG0014354"	8.31338589285772	1.3737453981193	0.654585983958617	2.09864774343557	0.0358479643615224	0.999848104559862	"dd_Smed_v6_2438_0_2"	"-"	"myosin light chain kinase activity"
"h1SMcG0014408"	3.10086199548903	2.02706922241298	0.99273105543329	2.04191176584905	0.0411602844555804	0.999848104559862	"dd_Smed_v6_9598_0_1"	"ATHL1"	"Acid trehalase-like protein 1"
"h1SMcG0014829"	1.63474983309438	4.16890798438846	1.95189749251302	2.13582321837049	0.0326938258693905	0.999848104559862	"dd_Smed_v6_5949_0_1"	"-"	"-"
"h1SMcG0015764"	4.31085421330085	-1.81463855958138	0.827728521233685	-2.19231126272749	0.0283570390648483	0.999848104559862	"dd_Smed_v6_4800_0_1"	"PRKCD"	"calcium-independent protein kinase C activity"
"h1SMcG0016859"	2.53496701106629	-2.69009635213533	1.31368331492811	-2.04775102307099	0.0405844015616328	0.999848104559862	"dd_Smed_v6_3250_0_1"	"DDX54"	"ATP-dependent RNA helicase"
"h1SMcG0017488"	2.21250919962226	2.86110233994366	1.45439213494788	1.96721521740503	0.0491584043889941	0.999848104559862	"dd_Smed_v6_6669_0_2"	"ECM2"	"Extracellular matrix protein 2"
"h1SMcG0020116"	2.12949555833892	-2.84473299922127	1.44928806599781	-1.96284856403804	0.0496637729210978	0.999848104559862	"dd_Smed_v6_6601_0_1"	"GAPVD1"	"It is involved in the biological process described with regulation of Ras GTPase activity"
"h1SMcG0022426"	2.30307723191379	2.89721755364814	1.34739891475644	2.15022998899465	0.0315370271307866	0.999848104559862	"dd_Smed_v6_14797_0_1"	"-"	"NHL repeat"
"h1SMnG0032065"	6.73505248421391	1.48830300537748	0.638667165624456	2.33032647595448	0.0197889024557478	0.999848104559862	"-"	"-"	"-"
