"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_ddv6"	"Preferred_name"	"Description"
"h1SMcG0002550"	7.68154175209722	-1.95077361300417	0.72927164234092	-2.6749615640371	0.0074737818116704	0.999376074443307	"dd_Smed_v6_20712_0_1"	"DAXX"	"death domain-associated protein"
"h1SMcG0003207"	4.75477125310562	-2.5489965087774	0.865557772602578	-2.94491782000065	0.00323040452600576	0.999376074443307	"dd_Smed_v6_8199_0_1"	"PTPRD"	"Protein tyrosine phosphatase activity. It is involved in the biological process described with protein dephosphorylation"
"h1SMcG0003731"	0.440372577146041	2.94916035547263	1.3963174668703	2.11209873502684	0.0346779814845049	0.999376074443307	"dd_Smed_v6_9396_0_1"	"ERCC8"	"WD40 repeats"
"h1SMcG0004048"	2.76778595251558	-2.71057850676746	1.17477967962152	-2.30730796062179	0.021037658052829	0.999376074443307	"dd_Smed_v6_13741_0_2"	"-"	"-"
"h1SMcG0005970"	3.00943909069931	-2.23650260735637	1.04970272807404	-2.13060569201323	0.0331216402491785	0.999376074443307	"dd_Smed_v6_17226_0_1"	"CELF4"	"positive regulation of mRNA splicing, via spliceosome"
"h1SMcG0009259"	2.23612898109034	-3.11714073407996	1.5533791196371	-2.00668381251847	0.0447833407122403	0.999376074443307	"dd_Smed_v6_13646_0_1"	"NPHS1"	"myoblast fusion"
"h1SMcG0010019"	0.518723246098345	3.22668071839933	1.51988519148516	2.12297661459966	0.0337558115369974	0.999376074443307	"dd_Smed_v6_4245_0_1"	"-"	"-"
"h1SMcG0010939"	0.518723246098345	3.22668071839933	1.51988519148516	2.12297661459966	0.0337558115369974	0.999376074443307	"dd_Smed_v6_145_0_1"	"RPL13"	"ribosomal protein L13"
"h1SMcG0011240"	2.54765533907498	-2.69743272473498	1.37027205772301	-1.9685380793777	0.0490061591805	0.999376074443307	"dd_Smed_v6_18373_0_1"	"PCDH1"	"Protocadherin"
"h1SMcG0014143"	4.34167712620268	-1.6622851746856	0.742912504991819	-2.23752482764294	0.0252520584983208	0.999376074443307	"dd_Smed_v6_9324_0_7"	"PLCB4"	"phosphatidylinositol phospholipase C activity"
"h1SMcG0015186"	5.22506414719832	-1.78213931416953	0.715592892463481	-2.49043741621634	0.0127585963591092	0.999376074443307	"dd_Smed_v6_12700_0_1"	"SerT"	"dopamine:sodium symporter activity"
"h1SMcG0015883"	4.20586152347507	-1.55968420738541	0.770789745987583	-2.02348852654629	0.0430228053116692	0.999376074443307	"dd_Smed_v6_10176_0_1"	"ptp-3"	"protein tyrosine phosphatase activity"
