Cluster,Color
0,#C8C8C8
1,#FEC44F
2,#B22222
3,#CD5555
4,#80C480
5,#969696
6,#FF69B4
7,#E066FF
8,#56A0CE
9,#9ECAE1
10,#228B22
11,#AFAFAF
12,#821111
13,#2171B5
14,#edeeda
15,#FFD900
16,#997E04
17,#FFB0AB
18,#8AB3DA
19,#FF9D00
20,#FFDE00
21,#6428C8
22,#FF1493
23,#F75394
24,#869E42
25,#EE5C42
26,#71A8D6
27,#FFA500
28,#4169E1
29,#9664C8
30,#997404
31,#7D7D7D
32,#CD6889
33,#FFBE96
34,#CD96CD
35,#FF8C00
36,#372FDE
37,#FCDB74
38,#BFBFBF
39,#B6B6B6
40,#FF5722
41,#FF7F00
42,#8B8B00
43,#7800FA
44,#8264C8
45,#FF9900
46,#BCEE68
47,#FF8000
48,#1E90FF
49,#ADADAD
50,#FA8CC3
51,#A4A4A4
52,#9B9B9B
53,#FF6600
54,#6430C8
55,#5014B4
56,#9650FA
57,#929292
58,#6438C8
59,#3029C2
60,#DBD7D7
61,#E6E6E6
62,#B1B1B1
63,#9632C8
64,#CD69CD
65,#6440C8
66,#B6B6B6
67,#ff8400
68,#C8C8C8
69,#DADADA
70,#DED9D9
71,#E6E6E6
72,#E6E6E6
73,#E6E6E6
