target_id	length	eff_length	est_counts	tpm
h1SMcT0023044.1	938	739	7.84568	0.167746
h1SMnT0035429.1	433	234	40	2.70091
h1SMnT0035428.2	1171	972	22.065	0.358678
h1SMnT0035430.1	225	36.3941	0	0
h1SMcT0022937.1	1148	949	0.113311	0.00188657
h1SMnT0035345.1	487	288	2.04746	0.112329
h1SMcT0022992.1	5186	4987	8.46945	0.0268338
h1SMnT0035168.1	667	468	0	0
h1SMnT0035169.1	682	483	1	0.0327129
h1SMnT0035364.1	3295	3096	0.197912	0.00101004
h1SMnT0035365.1	822	623	0	0
h1SMnT0035366.1	3294	3095	250.376	1.2782
h1SMnT0035367.1	2210	2011	0	0
h1SMnT0035368.1	649	450	0	0
h1SMnT0035369.1	3295	3096	0	0
h1SMnT0035370.1	1798	1599	0	0
h1SMcT0023064.1	649	450	12.173	0.427417
h1SMcT0022911.1	964	765	277.74	5.73645
h1SMcT0022912.1	1707	1508	2.42137	0.0253704
h1SMnT0035348.1	2018	1819	118.922	1.03299
h1SMcT0022995.1	1592	1393	40.8062	0.462852
h1SMnT0035349.1	581	382	0	0
h1SMnT0035350.1	437	238	5.03759	0.334436
h1SMnT0035351.1	251	54.8653	0	0
h1SMnT0035439.1	173	16.9784	0	0
h1SMcT0023009.1	1809	1610	6.37753	0.0625883
h1SMnT0035408.1	676	477	0	0
h1SMnT0035149.1	469	270	0	0
h1SMcT0022739.1	1385	1186	1.05547	0.0140613
h1SMcT0022740.2	1315	1116	232	3.28466
h1SMnT0035008.1	217	32.019	0	0
h1SMnT0035009.1	403	204	0	0
h1SMnT0035304.1	214	30.5332	0	0
h1SMcT0023054.1	1130	931	0	0
h1SMcT0023055.1	5046	4847	18.5618	0.0605083
h1SMcT0022976.1	1057	858	0	0
h1SMnT0035249.1	307	108.019	0	0
h1SMnT0035250.1	410	211	15280	1144.22
h1SMnT0035251.1	2625	2426	2.04244	0.0133023
h1SMcT0022931.1	1208	1009	0	0
h1SMnT0035252.1	344	145	0	0
h1SMnT0035253.1	459	260	0	0
h1SMcT0022932.1	1030	831	760	14.4504
h1SMnT0035254.1	593	394	0	0
h1SMcT0022933.2	2471	2272	1083.03	7.53177
h1SMnT0035255.1	3386	3187	63.6601	0.315611
h1SMnT0035204.1	222	34.6815	0	0
h1SMnT0035205.1	1081	882	1	0.0179142
h1SMnT0035206.1	369	170	0	0
h1SMcT0022885.2	2036	1837	0	0
