gene	longest_isoform	gene_type	gene_JakkeGuo	gene_Jakke_ver1	gene_ddv6	jakkeguo_collapsed	ddv6_collapsed	jakke_ver1_collapsed	Preferred_name	Description	PFAMs	class
h1SMcG0000270	h1SMcT0000270.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0000329	h1SMcT0000329.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0001095	h1SMcT0001095.1	hconf	SmMSTRG.9844.4	MSTRG.9844	dd_Smed_v6_11531_0_1	SMEST029316001.1,SmMSTRG.9844.3,SmMSTRG.9844.4	dd_Smed_v6_11531_0_1	MSTRG.9844	-	-	-	-
h1SMcG0001316	h1SMcT0001316.1	hconf	SmMSTRG.6121.1	MSTRG.6121	dd_Smed_v6_37545_0_1	SMEST019202001.1,SMEST020676001.1,SmMSTRG.6121.1,SmMSTRG.6121.3	dd_Smed_v6_37545_0_1	MSTRG.6121,MSTRG.7232	-	Amiloride-sensitive sodium channel	ASC	-
h1SMcG0001724	h1SMcT0001724.1	other	-	-	-	-	-	-	-	K02A2.6-like	BESS,Baculo_F,Dimer_Tnp_hAT,MADF_DNA_bdg,Macro,RVP,RVT_1,Retrotrans_gag,rve,zf-CCHC,zf-H2C2	-
h1SMcG0002991	h1SMcT0002991.1	hconf	SMEST023038001.1	SMESG000023038.1	-	SMEST023038001.1,SMEST043520001.1,SMEST057334001.1,SMEST059388001.1,SMEST075490001.1,SMEST080858003.1	-	SMESG000023038.1,SMESG000043520.1,SMESG000057334.1,SMESG000059388.1,SMESG000075490.1,SMESG000080858.1	-	-	-	-
h1SMcG0003972	h1SMcT0003972.1	hconf	SmMSTRG.6850.2	MSTRG.6850	dd_Smed_v6_23935_0_1	SMEST019606001.1,SMEST019606001.1,SmMSTRG.6850.2,SmMSTRG.6850.3	dd_Smed_v6_23935_0_1	MSTRG.6850	-	Ras family	Ras	-
h1SMcG0004577	h1SMcT0004577.1	other	SmMSTRG.12944.1	MSTRG.12944	-	SmMSTRG.12944.1	-	MSTRG.12944	DNAH3	ATP-dependent microtubule motor activity, minus-end-directed	AAA_5,AAA_6,AAA_7,AAA_8,AAA_9,DHC_N2,Dynein_heavy,MT,Metallophos,Mre11_DNA_bind	-
h1SMcG0005335	h1SMcT0005335.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0006603	h1SMcT0006603.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0006873	h1SMcT0006873.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0008439	h1SMcT0008439.1	other	-	-	-	-	-	-	traf2	TNF receptor-associated factor	MATH,TRAF_BIRC3_bd,zf-C3HC4,zf-TRAF	-
h1SMcG0008573	h1SMcT0008573.1	hconf	SMEST038098001.1	SMESG000038098.1	dd_Smed_v6_26309_0_1	SMEST038096001.1,SMEST038098001.1	dd_Smed_v6_26309_0_1	SMESG000038096.1,SMESG000038098.1	-	-	-	-
h1SMcG0008685	h1SMcT0008685.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0008957	h1SMcT0008957.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0009096	h1SMcT0009096.1	hconf	-	-	-	-	-	-	-	DNA-binding transcription factor activity, RNA polymerase II-specific	DUF4371,Exo_endo_phos_2,MULE	-
h1SMcG0009267	h1SMcT0009267.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0009333	h1SMcT0009333.1	hconf	SMEST079668001.1	MSTRG.23268	-	SMEST079668001.1	dd_Smed_v6_15038_0_2	MSTRG.23268	-	-	-	-
h1SMcG0009431	h1SMcT0009431.1	other	-	-	-	-	-	-	-	retrotransposable element Tf2 155 kDa protein type 1-like	Asp_protease_2,BEN,RVT_1,Retrotrans_gag,SCAN,gag-asp_proteas,rve,zf-CCHC,zf-H2C2	-
h1SMcG0009548	h1SMcT0009548.1	other	-	-	-	-	-	-	-	K02A2.6-like	DUF1759,RVP_2,RVT_1,SCAN,SRCR,gag-asp_proteas,rve,zf-CCHC,zf-H2C2	-
h1SMcG0009954	h1SMcT0009954.1	other	-	-	-	-	-	-	XIAP	Baculoviral inhibition of apoptosis protein repeat	BIR,zf-C3HC4_3	-
h1SMcG0009988	h1SMcT0009988.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0010089	h1SMcT0010089.1	other	-	-	-	SMEST019442001.1	-	SMESG000019442.1	-	-	-	-
h1SMcG0010408	h1SMcT0010408.1	other	SmMSTRG.12601.1	-	-	SmMSTRG.12601.1	-	-	-	-	-	-
h1SMcG0010900	h1SMcT0010900.1	other	-	-	-	-	-	-	-	-	-	-
