gene	longest_isoform	gene_type	gene_JakkeGuo	gene_Jakke_ver1	gene_ddv6	jakkeguo_collapsed	ddv6_collapsed	jakke_ver1_collapsed	Preferred_name	Description	PFAMs	class
h1SMcG0000118	h1SMcT0000118.1	hconf	-	-	-	-	-	-	-	Zinc finger, C3HC4 type (RING finger)	Helicase_C,PHD,PNGaseA,Prok-RING_4,SNF2_N,zf-C3HC4,zf-C3HC4_2,zf-C3HC4_3,zf-RING_2,zf-RING_5	-
h1SMcG0001130	h1SMcT0001130.1	other	SMEST009033004.1	-	-	SMEST009033004.1	-	-	-	-	-	-
h1SMcG0001382	h1SMcT0001382.1	other	-	-	-	-	-	-	-	K02A2.6-like	Asp_protease_2,Baculo_F,Chromo,Glycoprotein_B,LMF1,RVP,RVT_1,RVT_3,Retrotrans_gag,gag-asp_proteas,rve,zf-CCHC,zf-H2C2	-
h1SMcG0001779	h1SMcT0001779.1	other	SMEST075210001.1	SMESG000075210.1	-	SMEST059678001.1,SMEST075210001.1	-	SMESG000059678.1,SMESG000075210.1	-	-	-	-
h1SMcG0002332	h1SMcT0002332.1	other	-	-	-	SMEST027078001.1	-	MSTRG.270	-	-	-	-
h1SMcG0002550	h1SMcT0002550.1	hconf	SMEST055359001.1	MSTRG.9892	dd_Smed_v6_20712_0_1	SMEST029557001.1,SMEST055359001.1,SmMSTRG.16876.2	dd_Smed_v6_20712_0_1	MSTRG.9892,MSTRG.16876	DAXX	death domain-associated protein	Daxx,PMP22_Claudin	-
h1SMcG0003300	h1SMcT0003300.1	other	-	-	-	-	dd_Smed_v6_12777_0_37,dd_Smed_v6_12777_0_38,dd_Smed_v6_12777_0_39	-	-	-	-	-
h1SMcG0003364	h1SMcT0003364.1	other	-	-	-	-	-	-	-	Integrase core domain	rve,zf-H2C2	-
h1SMcG0003649	h1SMcT0003649.1	other	-	-	-	-	-	-	-	retrotransposable element Tf2 155 kDa protein type 1-like	Asp_protease_2,BEN,RVT_1,Retrotrans_gag,SCAN,gag-asp_proteas,rve,zf-CCHC,zf-H2C2	-
h1SMcG0003873	h1SMcT0003873.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0004056	h1SMcT0004056.1	other	-	-	-	-	dd_Smed_v6_1574_6_111	-	-	-	-	-
h1SMcG0005176	h1SMcT0005176.1	other	-	-	-	-	-	-	-	-	RVT_1	-
