gene	longest_isoform	gene_type	gene_JakkeGuo	gene_Jakke_ver1	gene_ddv6	jakkeguo_collapsed	ddv6_collapsed	jakke_ver1_collapsed	Preferred_name	Description	PFAMs	class
h1SMcG0000075	h1SMcT0000075.1	hconf	SMEST000522002.1	MSTRG.1073	dd_Smed_v6_8392_0_2	SMEST000522001.1,SMEST000522002.1,SmMSTRG.1073.1,SmMSTRG.1073.5	dd_Smed_v6_8392_0_1,dd_Smed_v6_8392_0_2	MSTRG.1073	TPH2	tryptophan hydroxylase 2	ACT,Biopterin_H	-
h1SMcG0000598	h1SMcT0000598.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMcG0001093	h1SMcT0001093.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMcG0001130	h1SMcT0001130.1	other	SMEST009033004.1	-	-	SMEST009033004.1	-	-	-	-	-	-
h1SMcG0001382	h1SMcT0001382.1	other	-	-	-	-	-	-	-	K02A2.6-like	Asp_protease_2,Baculo_F,Chromo,Glycoprotein_B,LMF1,RVP,RVT_1,RVT_3,Retrotrans_gag,gag-asp_proteas,rve,zf-CCHC,zf-H2C2	-
h1SMcG0001503	h1SMcT0001503.1	hconf	SMEST035049001.1	SMESG000032574.1	-	SMEST015578001.1,SMEST032574001.1,SMEST035049001.1,SMEST048755001.1,SMEST057633001.1,SMEST057634001.1,SmMSTRG.17337.2	-	SMESG000015578.1,SMESG000032574.1,MSTRG.14382,SMESG000048755.1,MSTRG.17337	-	-	-	-
h1SMcG0001745	h1SMcT0001745.1	hconf	SMEST059564001.1	SMESG000059564.1	dd_Smed_v6_67773_0_1	SMEST059564001.1	dd_Smed_v6_67773_0_1,dd_Smed_v6_84504_0_1	SMESG000059564.1	-	-	-	-
h1SMcG0002419	h1SMcT0002419.1	other	-	-	-	-	-	-	PRPF38B	RNA splicing	CRAL_TRIO,PRP38,PRP38_assoc,Peptidase_C12,RVT_2,Rib_hydrolayse	-
h1SMcG0002550	h1SMcT0002550.1	hconf	SMEST055359001.1	MSTRG.9892	dd_Smed_v6_20712_0_1	SMEST029557001.1,SMEST055359001.1,SmMSTRG.16876.2	dd_Smed_v6_20712_0_1	MSTRG.9892,MSTRG.16876	DAXX	death domain-associated protein	Daxx,PMP22_Claudin	-
h1SMcG0002555	h1SMcT0002555.1	hconf	-	-	-	SMEST012690001.1,SmMSTRG.4612.2	-	MSTRG.4613	-	-	-	-
