target_id	length	eff_length	est_counts	tpm
h1SMcT0023044.1	938	763.149	2	0.293809
h1SMnT0035429.1	433	259.573	10	4.31901
h1SMnT0035428.2	1171	996.133	3.80537	0.428276
h1SMnT0035430.1	225	70.7635	0	0
h1SMcT0022937.1	1148	973.133	0	0
h1SMnT0035345.1	487	312.781	0	0
h1SMcT0022992.1	5186	5011.13	2.55738	0.0572141
h1SMnT0035168.1	667	492.292	0	0
h1SMnT0035169.1	682	507.252	0	0
h1SMnT0035364.1	3295	3120.13	0	0
h1SMnT0035365.1	822	647.163	0	0
h1SMnT0035366.1	3294	3119.13	9.25359	0.332599
h1SMnT0035367.1	2210	2035.13	39.8575	2.19564
h1SMnT0035368.1	649	474.321	0	0
h1SMnT0035369.1	3295	3120.13	0	0
h1SMnT0035370.1	1798	1623.13	13.937	0.962633
h1SMcT0023064.1	649	474.321	1.70083	0.402007
h1SMcT0022911.1	964	789.149	27.4171	3.89499
h1SMcT0022912.1	1707	1532.13	0.0119826	0.000876796
h1SMnT0035348.1	2018	1843.13	31.1583	1.89523
h1SMcT0022995.1	1592	1417.13	178.195	14.0971
h1SMnT0035349.1	581	406.408	9.93535	2.74072
h1SMnT0035350.1	437	263.511	3.69153	1.57056
h1SMnT0035351.1	251	91.4016	1	1.22656
h1SMnT0035439.1	173	34.9126	0	0
h1SMcT0023009.1	1809	1634.13	1.11526	0.0765127
h1SMnT0035408.1	676	501.252	0	0
h1SMnT0035149.1	469	294.951	0	0
h1SMcT0022739.1	1385	1210.13	0	0
h1SMcT0022740.2	1315	1140.13	35	3.44157
h1SMnT0035008.1	217	64.6765	1	1.7334
h1SMnT0035009.1	403	230.263	0	0
h1SMnT0035304.1	214	62.4543	0	0
h1SMcT0023054.1	1130	955.133	0	0
h1SMcT0023055.1	5046	4871.13	37.7177	0.868081
h1SMcT0022976.1	1057	882.133	0	0
h1SMnT0035249.1	307	139.753	0	0
h1SMnT0035250.1	410	237.065	3580	1693.01
h1SMnT0035251.1	2625	2450.13	0	0
h1SMcT0022931.1	1208	1033.13	0	0
h1SMnT0035252.1	344	173.842	0	0
h1SMnT0035253.1	459	285.078	0	0
h1SMcT0022932.1	1030	855.133	125	16.3878
h1SMnT0035254.1	593	418.391	0	0
h1SMcT0022933.2	2471	2296.13	304.97	14.8903
h1SMnT0035255.1	3386	3211.13	30.7085	1.07212
h1SMnT0035204.1	222	68.477	0	0
h1SMnT0035205.1	1081	906.133	0	0
h1SMnT0035206.1	369	197.461	0	0
h1SMcT0022885.2	2036	1861.13	0	0
h1SMcT0022886.1	479	304.843	0	0
h1SMnT0035137.1	1237	1062.13	0	0
h1SMnT0035138.1	362	190.767	0	0
h1SMnT0035139.1	2159	1984.13	9.71747e-06	5.49069e-07
h1SMnT0035140.1	538	363.547	0	0
h1SMnT0035141.1	3293	3118.13	0	0
h1SMnT0035142.1	363	191.713	115.96	67.811
h1SMnT0035173.1	1063	888.133	0	0
h1SMnT0035174.1	867	692.149	2050.94	332.198
h1SMnT0035175.1	3291	3116.13	0	0
h1SMnT0035176.1	363	191.713	115.96	67.811
h1SMnT0035177.1	2432	2257.13	10.5513	0.524073
h1SMcT0022892.1	2757	2582.13	286.022	12.4184
h1SMcT0022664.1	1587	1412.13	4.15604	0.329951
h1SMnT0034919.1	1713	1538.13	11.117	0.810285
h1SMcT0022665.1	9704	9529.13	2.11228	0.0248509
h1SMcT0022666.1	7223	7048.13	0	0
h1SMcT0022667.1	10811	10636.1	6.04554	0.0637229
h1SMnT0035274.2	204	55.3232	0	0
h1SMcT0022950.1	1132	957.133	3	0.351393
h1SMnT0035104.1	1776	1601.13	2510.51	175.784
h1SMnT0035105.1	369	197.461	0	0
h1SMnT0035106.1	677	502.252	8.12303	1.81318
h1SMcT0022811.1	4196	4021.13	13.0705	0.364408
h1SMnT0035107.1	906	731.149	35.5238	5.44701
h1SMcT0022812.1	3862	3687.13	0	0
h1SMnT0035108.1	942	767.149	23.4386	3.42529
h1SMnT0035109.1	1235	1060.13	0	0
h1SMnT0035110.1	557	382.494	48.7738	14.2957
h1SMnT0035167.1	426	252.682	7.8214	3.47021
h1SMcT0022861.1	1552	1377.13	0	0
h1SMcT0023025.1	1272	1097.13	33.5429	3.42756
h1SMnT0035154.1	904	729.149	1.0151	0.156076
h1SMcT0022833.1	1591	1416.13	85.519	6.77022
h1SMcT0022893.1	2162	1987.13	0	0
h1SMcT0022736.1	505	330.691	4	1.35607
h1SMcT0022737.1	1029	854.133	22.6643	2.97482
h1SMcT0022738.1	1350	1175.13	4	0.381608
h1SMnT0035322.1	217	64.6765	0	0
h1SMnT0035323.1	735	560.211	0	0
h1SMnT0035324.2	335	165.427	40.4058	27.3831
h1SMnT0035227.1	1397	1222.13	0	0
h1SMcT0022909.1	874	699.149	11.3475	1.8196
h1SMnT0035228.1	568	393.44	33.6881	9.59936
h1SMnT0035229.1	524	349.596	1	0.320684
h1SMcT0023038.1	2979	2804.13	418.359	16.7261
h1SMnT0035422.1	134	16.2637	0	0
h1SMcT0023039.2	1098	923.133	13.8364	1.68036
h1SMnT0035423.1	937	762.149	10	1.47097
h1SMnT0035424.1	2291	2116.13	19	1.0066
h1SMcT0023051.1	1760	1585.13	0.999999	0.0707259
h1SMnT0035447.1	696	521.242	0	0
h1SMnT0035467.1	305	137.957	0	0
h1SMcT0022957.1	540	365.547	1.32765	0.407178
h1SMcT0022958.1	458	284.09	22.7086	8.96146
h1SMcT0022975.1	1214	1039.13	0	0
h1SMnT0035371.1	220	66.9249	0	0
h1SMnT0035222.1	841	666.163	3	0.504877
h1SMcT0022906.1	785	610.187	0	0
h1SMnT0034950.1	246	87.3361	0	0
h1SMnT0035278.1	532	357.561	0	0
h1SMnT0035279.1	127	13.8311	0	0
h1SMcT0022952.1	2293	2118.13	48.0452	2.54297
h1SMnT0035280.1	972	797.149	7	0.984471
h1SMnT0035281.1	1330	1155.13	3	0.291161
h1SMcT0022934.1	19276	19101.1	247.76	1.45418
h1SMcT0022898.1	1257	1082.13	0	0
h1SMcT0022899.1	1154	979.133	0	0
h1SMcT0022900.1	2875	2700.13	1.27984	0.0531391
h1SMcT0022901.1	1798	1623.13	4.4193e-05	3.05242e-06
h1SMnT0035418.1	379	207.037	0	0
h1SMnT0035419.1	572	397.424	0	0
h1SMcT0023037.1	4734	4559.13	28.6506	0.704525
h1SMnT0035420.1	226	71.5164	0	0
h1SMnT0035096.1	559	384.494	0	0
h1SMcT0022872.1	985	810.149	3.91906	0.542328
h1SMcT0022814.1	2646	2471.13	5.42071	0.245926
h1SMcT0022815.1	2022	1847.13	5.57929	0.33863
h1SMcT0022816.1	3124	2949.13	5.37245	0.204231
h1SMcT0022656.1	6668	6493.13	23.5667	0.406901
h1SMnT0034905.1	1057	882.133	6.09934	0.775163
h1SMcT0022657.2	3525	3350.13	80.9502	2.70895
h1SMnT0034906.1	553	378.51	2	0.592376
h1SMnT0034907.1	1610	1435.13	26.4241	2.0642
h1SMnT0034908.1	674	499.262	17.9624	4.03348
h1SMnT0034909.1	344	173.842	0	0
h1SMnT0034910.1	874	699.149	12.0438	1.93125
h1SMcT0022658.1	895	720.149	28.646	4.4595
h1SMnT0035333.1	518	343.624	0	0
h1SMcT0022983.2	1765	1590.13	139.314	9.82213
h1SMnT0035334.1	355	184.192	0	0
h1SMnT0035335.1	347	176.642	0	0
h1SMcT0022982.1	1733	1558.13	31.1863	2.2439
h1SMnT0035165.1	414	240.969	0	0
h1SMnT0035166.1	311	143.389	0	0
h1SMcT0022650.1	3691	3516.13	0	0
h1SMcT0022651.1	3742	3567.13	0	0
h1SMnT0034903.1	1789	1614.13	1.57524	0.109409
h1SMcT0022652.1	16757	16582.1	4.51844	0.0305487
h1SMcT0022653.1	7978	7803.13	1.60983	0.0231289
h1SMnT0034904.1	2408	2233.13	0	0
h1SMcT0022643.1	1273	1098.13	127.842	13.0515
h1SMcT0022644.1	746	571.199	0.981728	0.192685
h1SMcT0022645.1	752	577.199	0	0
h1SMcT0022646.1	812	637.163	1	0.175952
h1SMcT0022878.1	3135	2960.13	20.0687	0.760068
h1SMnT0035197.1	681	506.252	1.05239	0.233053
h1SMcT0022879.1	645	470.321	0	0
h1SMcT0022880.1	1003	828.133	0	0
h1SMnT0035198.1	3014	2839.13	26	1.02667
h1SMcT0022974.1	15547	15372.1	129.709	0.945975
h1SMnT0035321.1	630	455.34	0	0
h1SMnT0035305.1	1121	946.133	1537.62	182.197
h1SMnT0035306.1	1778	1603.13	648.748	45.3681
h1SMnT0035307.1	531	356.561	0	0
h1SMnT0035308.1	1309	1134.13	879.58	86.9473
h1SMnT0035309.1	1106	931.133	0	0
h1SMnT0035310.1	1917	1742.13	1.55849	0.100292
h1SMnT0035311.1	1033	858.133	2.31377e-08	3.0228e-09
h1SMnT0035312.1	3291	3116.13	0	0
h1SMnT0035313.1	363	191.713	115.96	67.811
h1SMnT0035314.1	3292	3117.13	0	0
h1SMnT0035315.1	1694	1519.13	0.000169771	1.25289e-05
h1SMnT0035316.1	2161	1986.13	0	0
h1SMcT0022894.1	1956	1781.13	91.4479	5.75601
h1SMnT0035285.1	673	498.272	0	0
h1SMnT0035286.1	153	24.0267	0	0
h1SMnT0035287.1	556	381.494	0	0
h1SMnT0035288.1	558	383.494	0	0
h1SMnT0035289.4	2122	1947.13	25.2881	1.45601
h1SMcT0022955.1	8642	8467.13	8.6569	0.114623
h1SMcT0023031.1	565	390.463	0	0
h1SMnT0035406.1	1639	1464.13	1.02708	0.0786445
h1SMcT0023032.1	1505	1330.13	65.263	5.50068
h1SMnT0035407.1	2457	2282.13	5.78836	0.284354
h1SMcT0022953.1	2474	2299.13	0	0
h1SMcT0022996.1	3781	3606.13	14.9023	0.463292
h1SMcT0022890.1	1269	1094.13	23.5591	2.41398
h1SMnT0035209.1	395	222.48	0	0
h1SMcT0022891.1	597	422.383	0	0
h1SMnT0035210.1	396	223.408	0	0
h1SMnT0035211.1	681	506.252	0	0
h1SMcT0022866.1	913	738.149	14.9323	2.26792
h1SMcT0022973.1	3555	3380.13	105.718	3.5064
h1SMnT0035320.1	1153	978.133	7	0.802314
h1SMnT0035457.1	224	69.9854	0	0
h1SMcT0023053.1	1061	886.133	62.8647	7.95339
h1SMnT0035458.1	385	212.813	5.58286	2.94106
h1SMcT0023003.1	902	727.149	82	12.6426
h1SMnT0035361.1	949	774.149	0	0
h1SMnT0035362.1	212	61.0303	0	0
h1SMcT0023004.1	713	538.211	0	0
h1SMcT0022831.1	1756	1581.13	0	0
h1SMnT0035146.1	130	14.8562	0	0
h1SMnT0035147.1	329	159.855	0	0
h1SMnT0035148.1	441	267.399	1	0.419261
h1SMcT0022832.1	1390	1215.13	55.9826	5.16504
h1SMcT0022887.1	2842	2667.13	0	0
h1SMnT0035207.1	381	208.949	0	0
h1SMnT0035182.2	1784	1609.13	7	0.487697
h1SMnT0035183.1	1315	1140.13	0	0
h1SMcT0022782.1	1579	1404.13	301.723	24.0904
h1SMcT0022783.1	924	749.149	10.1477	1.51861
h1SMnT0035061.1	497	322.731	0	0
h1SMcT0022784.1	1038	863.133	0	0
h1SMcT0023060.1	799	624.175	0	0
h1SMcT0022856.1	689	514.242	0	0
h1SMcT0022857.1	1071	896.133	0	0
h1SMcT0022920.1	6196	6021.13	63.6539	1.1852
h1SMcT0022921.3	1402	1227.13	0	0
h1SMnT0035006.1	4147	3972.13	0	0
h1SMnT0035007.1	2193	2018.13	5	0.277757
h1SMnT0035344.1	214	62.4543	2.26857	4.07226
h1SMnT0035122.1	651	476.321	45.3428	10.6722
h1SMnT0035425.1	499	324.724	0	0
h1SMnT0035426.1	325	156.202	0	0
h1SMcT0023008.1	2256	2081.13	260.162	14.0149
h1SMnT0035372.1	309	141.575	0	0
h1SMnT0035373.2	2430	2255.13	35.0499	1.74244
h1SMnT0035343.1	112	13.0855	0	0
h1SMnT0035317.1	961	786.149	2.58353	0.368428
h1SMcT0022971.1	1182	1007.13	5.59087	0.622354
h1SMcT0022823.1	2805	2630.13	29.5641	1.26018
h1SMnT0035111.1	308	140.613	2.78859	2.22332
h1SMnT0035112.1	328	158.956	0	0
h1SMnT0035113.2	311	143.389	0	0
h1SMnT0035114.1	344	173.842	0	0
h1SMcT0022964.1	936	761.149	21.741	3.20224
h1SMnT0035299.1	1331	1156.13	0	0
h1SMnT0035300.1	364	192.674	0	0
h1SMnT0035301.1	468	293.951	9.63487	3.67465
h1SMnT0035302.1	423	249.762	3.62194	1.62577
h1SMcT0022965.1	2342	2167.13	5.66834	0.293234
h1SMcT0022819.1	1349	1174.13	0	0
