gene	longest_isoform	gene_type	gene_JakkeGuo	gene_Jakke_ver1	gene_ddv6	jakkeguo_collapsed	ddv6_collapsed	jakke_ver1_collapsed	Preferred_name	Description	PFAMs	class
h1SMcG0000777	h1SMcT0000777.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0000927	h1SMcT0000927.1	other	-	-	dd_Smed_v6_14472_0_29	-	dd_Smed_v6_14472_0_29	-	-	-	-	-
h1SMcG0001009	h1SMcT0001009.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0001271	h1SMcT0001271.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0001422	h1SMcT0001422.1	hconf	SMEST032422003.1	SMESG000032422.1	-	SMEST032422003.1	-	SMESG000032422.1	-	-	-	-
h1SMcG0001992	h1SMcT0001992.1	other	-	-	-	-	dd_Smed_v6_11628_0_2,dd_Smed_v6_13644_0_5,dd_Smed_v6_24715_0_1	-	-	-	-	-
h1SMcG0002354	h1SMcT0002354.1	hconf	SMEST037700001.1	SMESG000037700.1	-	SMEST037700001.1	-	SMESG000037700.1	-	-	-	-
h1SMcG0002731	h1SMcT0002731.1	hconf	SMEST021948001.1	SMESG000021948.1	-	SMEST021948001.1	-	SMESG000021948.1	-	-	-	-
h1SMcG0002842	h1SMcT0002842.1	hconf	SmMSTRG.17924.3	MSTRG.17924	-	SMEST060343001.1,SmMSTRG.17924.3	-	MSTRG.17924	-	-	-	-
h1SMcG0003470	h1SMcT0003470.1	hconf	SMEST077611001.1	SMESG000077611.1	-	SMEST009566002.1,SMEST048323001.1,SMEST055578001.1,SMEST073729001.1,SMEST077611001.1	-	SMESG000009566.1,SMESG000048323.1,SMESG000055578.1,SMESG000073729.1,SMESG000077611.1	-	-	-	-
h1SMcG0003585	h1SMcT0003585.1	hconf	-	-	-	-	-	-	CELSR1	protein localization involved in establishment of planar polarity	7tm_2,Cadherin,EGF,GAIN,GPS,HRM,Laminin_EGF,Laminin_G_2,PepSY,hEGF	-
h1SMcG0003801	h1SMcT0003801.1	other	-	-	dd_Smed_v6_5675_0_22	-	dd_Smed_v6_5675_0_22,dd_Smed_v6_5675_0_25	-	-	-	-	-
h1SMcG0004361	h1SMcT0004361.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0005729	h1SMcT0005729.1	hconf	-	-	dd_Smed_v6_13149_0_11	-	dd_Smed_v6_13149_0_11	-	-	-	-	-
h1SMcG0005996	h1SMcT0005996.1	other	-	-	-	-	-	-	-	-	-	-
