gene	longest_isoform	gene_type	gene_JakkeGuo	gene_Jakke_ver1	gene_ddv6	jakkeguo_collapsed	ddv6_collapsed	jakke_ver1_collapsed	Preferred_name	Description	PFAMs	class
h1SMcG0000124	h1SMcT0000124.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMcG0000369	h1SMcT0000369.1	hconf	SMEST011056001.1	MSTRG.4151	dd_Smed_v6_18135_0_4	SMEST011056001.1	dd_Smed_v6_18135_0_1,dd_Smed_v6_18135_0_4	MSTRG.4151	-	-	-	-
h1SMcG0000695	h1SMcT0000695.7	hconf	SmMSTRG.9517.1	MSTRG.9517	dd_Smed_v6_10_1_1	SMEST028258001.1,SMEST028260001.1,SmMSTRG.9517.1,SmMSTRG.9517.10,SmMSTRG.9517.12,SmMSTRG.9517.5	dd_Smed_v6_10_1_1	MSTRG.9517	SFTPD	Surfactant protein D	Collagen,Lectin_C,Surfac_D-trimer,VWD	-
h1SMcG0002289	h1SMcT0002289.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0002426	h1SMcT0002426.1	other	-	-	-	-	-	-	-	K02A2.6-like	DUF1759,RVP_2,RVT_1,SCAN,SRCR,gag-asp_proteas,rve,zf-CCHC,zf-H2C2	-
h1SMcG0002922	h1SMcT0002922.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0002947	h1SMcT0002947.1	other	-	-	-	-	-	-	-	K02A2.6-like	DUF1759,RVP_2,RVT_1,SCAN,SRCR,gag-asp_proteas,rve,zf-CCHC,zf-H2C2	-
h1SMcG0003470	h1SMcT0003470.1	hconf	SMEST077611001.1	SMESG000077611.1	-	SMEST009566002.1,SMEST048323001.1,SMEST055578001.1,SMEST073729001.1,SMEST077611001.1	-	SMESG000009566.1,SMESG000048323.1,SMESG000055578.1,SMESG000073729.1,SMESG000077611.1	-	-	-	-
h1SMcG0003630	h1SMcT0003630.1	hconf	SMEST042976001.1	SMESG000007636.1	dd_Smed_v6_54833_0_1	SMEST007636002.1,SMEST042976001.1	dd_Smed_v6_54833_0_1	SMESG000007636.1,SMESG000042976.1	-	-	-	-
h1SMcG0003973	h1SMcT0003973.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0004481	h1SMcT0004481.1	hconf	SMEST033976001.1	MSTRG.11132	dd_Smed_v6_17854_0_1	SMEST033976001.1,SMEST033976002.1,SmMSTRG.11132.3,SmMSTRG.11132.3,SmMSTRG.11132.4,SmMSTRG.11132.4,SmMSTRG.11132.5,SmMSTRG.11132.5,SmMSTRG.11132.6	dd_Smed_v6_17854_0_1	MSTRG.11132	ARRB1	alpha-1A adrenergic receptor binding	ATG16,Arrestin_C,Arrestin_N,BTB,WD40	-
h1SMcG0004710	h1SMcT0004710.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0004913	h1SMcT0004913.1	other	-	-	-	-	-	-	-	oxidation-reduction process	Exo_endo_phos_2,Herpes_teg_N	-
h1SMcG0005100	h1SMcT0005100.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0005457	h1SMcT0005457.1	hconf	SMEST018025001.1	MSTRG.6370	dd_Smed_v6_4185_0_1	SMEST018025001.1	dd_Smed_v6_4185_0_1	MSTRG.6370	-	-	-	-
h1SMcG0006237	h1SMcT0006237.1	hconf	SMEST018381001.1	SMESG000018381.1	-	SMEST018381001.1	-	SMESG000018381.1	ADPRM	ADP-ribose CDP-alcohol diphosphatase	Metallophos	-
h1SMcG0006256	h1SMcT0006256.1	other	SMEST050353007.1	MSTRG.15477	-	SMEST006220001.1,SMEST006220002.1,SMEST019334004.1,SMEST022623007.1,SMEST043782004.1,SMEST050353007.1,SMEST057427053.1,SMEST057427075.1,SMEST062279011.1,SMEST065288002.1,SMEST076652008.1	dd_Smed_v6_79185_0_1	SMESG000006220.1,SMESG000019334.1,SMESG000043782.1,MSTRG.15477,SMESG000057427.1,SMESG000062279.1,SMESG000065288.1,SMESG000076652.1	-	nucleic acid binding	DNA_pol_B_2,Endonuclease_7,Rho_N	-
h1SMcG0006565	h1SMcT0006565.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0006863	h1SMcT0006863.1	hconf	SmMSTRG.16650.1	MSTRG.16650	dd_Smed_v6_7967_0_1	SMEST055087001.1,SMEST055093002.1,SmMSTRG.16650.1	dd_Smed_v6_7967_0_1,dd_Smed_v6_9731_0_1	MSTRG.16650	-	hydrolase activity, acting on ester bonds	Abhydro_lipase,Abhydrolase_1,Dimer_Tnp_hAT,Hydrolase_4	-
h1SMcG0007591	h1SMcT0007591.1	hconf	-	-	-	-	-	-	TNFAIP8L2	negative regulation of leukocyte cell-cell adhesion	DUF758	-
h1SMcG0008888	h1SMcT0008888.1	other	-	-	-	-	-	-	LRSAM1	E3 ubiquitin-protein ligase	LRR_1,LRR_4,LRR_8,Mab-21,PAX,SAM_1,SAM_2,zf-C3HC4_3	-
h1SMcG0009093	h1SMcT0009093.1	other	SMEST044525001.1	MSTRG.13859	-	SMEST044525001.1	-	MSTRG.13859	-	-	-	-
h1SMcG0009142	h1SMcT0009142.1	hconf	SMEST049862001.1	MSTRG.15327	-	SMEST049862001.1	-	MSTRG.15327	ABCF3	defense response to virus	ABC_tran,ABC_tran_Xtn,BRICHOS	-
h1SMcG0010099	h1SMcT0010099.1	hconf	-	-	-	SmMSTRG.17604.2	-	-	-	Astacin (Peptidase family M12A)	Astacin,CUB	-
h1SMcG0010362	h1SMcT0010362.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0010396	h1SMcT0010396.1	hconf	SMEST003271002.1	MSTRG.901	dd_Smed_v6_58095_0_1	SMEST003271002.1	dd_Smed_v6_58095_0_1	MSTRG.901	-	-	-	-
h1SMcG0011588	h1SMcT0011588.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0012457	h1SMcT0012457.1	other	-	-	-	-	-	-	TRAF5	meprin and TRAF homology	zf-C3HC4,zf-TRAF	-
h1SMcG0012926	h1SMcT0012926.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0013399	h1SMcT0013399.2	other	-	-	-	-	dd_Smed_v6_23547_0_2,dd_Smed_v6_23547_0_3,dd_Smed_v6_23547_0_6,dd_Smed_v6_65219_0_1,dd_Smed_v6_70274_0_1	-	-	Ribonuclease H protein	Peptidase_C48,RVT_1	-
h1SMcG0014642	h1SMcT0014642.1	hconf	SmMSTRG.2758.1	MSTRG.2758	dd_Smed_v6_78494_0_1	SmMSTRG.2758.1	dd_Smed_v6_53284_0_1,dd_Smed_v6_78494_0_1,dd_Smed_v6_97964_0_1	MSTRG.2758	-	sodium channel activity	ASC,Inhibitor_I29,MCM,MCM2_N,MCM_N,MCM_OB,Peptidase_C1	-
h1SMcG0014689	h1SMcT0014689.2	hconf	SMEST009459001.1	MSTRG.2811	-	SMEST009459001.1,SMEST009459003.1	dd_Smed_v6_101944_0_1	MSTRG.2811	CAPN5	Belongs to the peptidase C2 family	C2,Calpain_III,Olfactory_mark,Peptidase_C2	-
h1SMcG0014870	h1SMcT0014870.1	hconf	-	-	-	-	-	-	-	-	-	-
